comuna;candidato;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;orden;mesas_porcentaje;partido;sector
MELIPILLA;Eduardo Antonio Artés Brichetti;180;0,00589506779327962;30534;89;274;6;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Evelyn Matthei Fornet;3497;0,11452806707277134;30534;89;274;7;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Harold Mayne-Nicholls Secul;358;0,01172463483330058;30534;89;274;8;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Nulo/Blanco;1207;0,03952970459160280;30534;89;274;99;0,3248175182481752;Ninguno;Ninguno
PADRE HURTADO;Franco Parisi Fernández;2152;0,18591792656587472;11575;34;149;1;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Jeannette Jara Román;3256;0,28129589632829372;11575;34;149;2;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Marco Antonio Enríquez-Ominami Gumucio;166;0,01434125269978402;11575;34;149;3;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Johannes Kaiser Barents-Von Hohenhagen;1474;0,12734341252699785;11575;34;149;4;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;José Antonio Kast Rist;2601;0,22470842332613392;11575;34;149;5;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Eduardo Antonio Artés Brichetti;77;0,00665226781857451;11575;34;149;6;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Evelyn Matthei Fornet;1352;0,11680345572354212;11575;34;149;7;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Harold Mayne-Nicholls Secul;125;0,01079913606911447;11575;34;149;8;0,2281879194630873;Ninguno;Ninguno
PADRE HURTADO;Nulo/Blanco;372;0,03213822894168467;11575;34;149;99;0,2281879194630873;Ninguno;Ninguno
PAINE;Franco Parisi Fernández;2037;0,17407280806699710;11702;33;162;1;0,2037037037037037;Ninguno;Ninguno
PAINE;Jeannette Jara Román;2893;0,24722269697487609;11702;33;162;2;0,2037037037037037;Ninguno;Ninguno
PAINE;Marco Antonio Enríquez-Ominami Gumucio;113;0,00965646897966160;11702;33;162;3;0,2037037037037037;Ninguno;Ninguno
PAINE;Johannes Kaiser Barents-Von Hohenhagen;1312;0,11211758673730986;11702;33;162;4;0,2037037037037037;Ninguno;Ninguno
PAINE;José Antonio Kast Rist;3863;0,33011451034011280;11702;33;162;5;0,2037037037037037;Ninguno;Ninguno
PAINE;Eduardo Antonio Artés Brichetti;53;0,00452914031789438;11702;33;162;6;0,2037037037037037;Ninguno;Ninguno
PAINE;Evelyn Matthei Fornet;929;0,07938813877969578;11702;33;162;7;0,2037037037037037;Ninguno;Ninguno
PAINE;Harold Mayne-Nicholls Secul;120;0,01025465732353444;11702;33;162;8;0,2037037037037037;Ninguno;Ninguno
PAINE;Nulo/Blanco;382;0,03264399247991796;11702;33;162;99;0,2037037037037037;Ninguno;Ninguno
PEDRO AGUIRRE CERDA;Franco Parisi Fernández;1751;0,14579517069109077;12010;37;223;1;0,1659192825112108;Ninguno;Ninguno
PEDRO AGUIRRE CERDA;Jeannette Jara Román;4746;0,39517069109075770;12010;37;223;2;0,1659192825112108;Ninguno;Ninguno
